区  县,级别,学  校  名  称,addresss,Latitude,Longitude,邮编,备   注
海淀,6,北京市育鸿学校,北京市海淀区复兴路十四号,39.90763,116.29411,100843,
海淀,4,北京市海淀外国语实验学校,北京市海淀区杏石口路20号,39.94419,116.25688,100097,
海淀,1,中国人民大学附属中学分校,北京市海淀区双榆树南里二区3号,39.96564,116.33118,100086,
海淀,6,北京市二十一世纪实验学校,北京市海淀区恩济庄46号,39.921207,116.287914,100036,
海淀,,北京市科兴实验中学,北京市海淀区文慧园北路24号,39.95349,116.36175,100088,
海淀,1,中国人民大学附属中学,北京市海淀区中关村大街37号,39.97458,116.31777,100080,
海淀,3,北京市第五十七中学,北京市海淀区北蜂窝中路6号,39.90035,116.33021,100038,
海淀,,北京市西颐实验学校,北京市海淀区双榆树南里2区3号,39.96514,116.329773,100086,
海淀,6,北方交大第二附属中学,北京市海淀区上园村3号,39.94846,116.34149,100044,
丰台,4,北京市赵登禹学校,北京市丰台区马家堡嘉园一里17号,39.850765,116.365921,100067,
丰台,3,北京市首都医科大学附属中学,右安门外翠林小区二里22号,39.857547,116.366663,100069,
丰台,3,北京市第十二中学,北京市丰台区益泽路15号,39.86178,116.30914,100071,
丰台,5,北京市丰台区南苑中学,北京市丰台区南苑西路一号,39.81406,116.36545,100076,
丰台,5,北京市丰台区长辛店第一中学,长辛店桥西扶轮胡同45号,39.826424,116.210836,100072,
丰台,4,北京市航天中学,北京市丰台区万源北路3号,39.803659,116.427305,100076,
丰台,3,北京市云岗中学,北京市丰台区云岗北区东里1号,39.813776,116.167303,100074,
丰台,5,北京市丰台区丰台第一中学,北京市丰台区丰台桥南新华街2号,39.84433,116.29412,100070,
丰台,1,北京市第十中学,北京市丰台区长辛店镇南关东里1号,39.8412,116.20942,100072,
丰台,3,北京市第十八中学,北京市丰台区方庄芳星园二区11楼,39.863775,116.435002,100078,
丰台,3,首都师范大学附属丽泽中学,北京市丰台区北大街7号,39.85946,116.28622,100071,
丰台,6,北大附属实验学校,北京市丰台区明春苑小区北大附属实验学校,39.786047,116.299996,100071,
丰台,2,北京市丰台区丰台第二中学,北京市丰台区东安街头条3号,39.84959,116.27912,100071,
丰台,3,北京市第十二中学高中分校,北京市丰台区丰管路3号,39.85827,116.30227,100071,
宣武,5,北京市第一四○中学,北京市宣武区大川淀24号,39.904211,116.407395,100054,
宣武,4,北京市第四十三中学,北京市宣武区后孙公园胡同37号,39.89356,116.38219,100052,
宣武,4,北京市第六十二中学,北京市宣武区太平街西巷4号,39.88053,116.38641,100050,
宣武,4,北京市第六十三中学,北京市宣武区白广路33号,39.88076,116.35892,100053,
宣武,5,北京教育学院宣武分院附属中学,宣武区南樱桃园新安中里二巷10号,39.87693,116.36269,100054,
宣武,2,北京市回民学校,北京市宣武区广安门内大街223号,39.88943,116.36106,100053,
宣武,1,北京师范大学附属中学,北京市宣武区南新华街18号,39.89812,116.38454,100052,
宣武,2,北京市第十四中学,北京市宣武区下斜街40号,39.8932,116.3657,100053,
宣武,2,北京市第十五中学,北京市宣武区自新路育新街2号,39.8771,116.37333,100054,
宣武,4,北京市宣武区外国语实验学校,北京市宣武区南菜园街35号,39.879223,116.36031,100054,
宣武,4,北京市徐悲鸿中学,北京市宣武区右内西街甲10号,39.873717,116.363779,100054,
宣武,3,北京市育才学校,北京市宣武区东经路21号,39.87819,116.39312,100050,
宣武,3,北京市第六十六中学,北京市宣武区枣林前街111号,39.88349,116.35469,100053,
石景山,6,北方工业大学附属中学,石景山金顶北路八号,39.92983,116.16595,100041,
石景山,3,北京市八大处中学,北京市石景山区八大处路8号,39.94926,116.19111,100041,
石景山,5,教育学院石景山分院附属学校,北京市石景山区古城东街62号,39.91279,116.19431,100043,
石景山,3,北京市京源学校,北京市石景山区京原路10号,39.89851,116.21419,100040,
石景山,2,北京市第九中学,北京市石景山区模式口大街,39.9352,116.16221,100041,
石景山,4,北京市杨庄中学,北京市石景山区八角北路53号,39.91781,116.19554,100043,
石景山,3,北京市苹果园中学,北京市石景山区苹果园南路25号,39.92991,116.1935,100041,
石景山,4,北京市古城高级中学,北京市古城高级中学,39.910632,116.193142,100043,
